Comparison,Gene,logFC,p_value,-log10(p_value),Regulation
Leiomyosarcoma vs Rhabdomyosarcoma,IBSP,0.119496346,0.56477714,0.24812289,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_107,0.091312885,0.5676044,0.24595425,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_174,-0.106826305,0.5695905,0.24443728,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_047,0.12504101,0.57630676,0.2393463,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_017,0.10719681,0.5807488,0.2360117,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_087,-0.110776424,0.5892448,0.22970428,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_046,-0.11168623,0.5923518,0.2274203,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_127,0.08141804,0.5977752,0.2234621,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_126,0.09285498,0.60042137,0.22154388,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,RB1,-0.10241127,0.6047731,0.21840753,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_145,-0.09671593,0.6107365,0.21414614,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_175,0.093072414,0.6110787,0.21390288,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_049,-0.087501526,0.62331504,0.2052924,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_006,-0.09103346,0.62750185,0.202385,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_113,-0.09724951,0.6321521,0.19917844,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_068,-0.08635855,0.63639146,0.19627567,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,ADIPOQ,-0.09160185,0.65865815,0.18133993,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_124,-0.09569788,0.66460127,0.17743884,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_136,-0.07777214,0.6726524,0.1722093,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_118,-0.07421398,0.67584586,0.17015234,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_063,0.07865286,0.67770994,0.16895615,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_035,0.07536316,0.68570405,0.16386329,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_084,-0.06805706,0.695222,0.15787648,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_040,0.07281017,0.70953536,0.14902596,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_058,0.058748245,0.7308164,0.1361917,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_050,-0.06607866,0.73261887,0.1351219,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_089,-0.06431627,0.73411965,0.13423316,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_119,0.07082367,0.7373161,0.1323463,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_133,-0.058415413,0.7422972,0.1294222,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_138,0.0626502,0.746403,0.12702665,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_022,-0.06335306,0.7472719,0.12652135,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_109,0.06450033,0.7521887,0.12367321,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_114,0.05581379,0.7626363,0.11768253,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,COL1A1,-0.0549407,0.7644424,0.116655245,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_101,0.060287952,0.76907086,0.11403365,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_141,-0.057003975,0.7698018,0.113621086,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_003,-0.051166534,0.7765842,0.10981145,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,BGLAP,0.051419735,0.7775937,0.10924728,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,DES,-0.063363075,0.78013855,0.10782826,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,MMP2,0.057516575,0.7837554,0.10581945,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_158,-0.045051098,0.7945047,0.09990353,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_004,-0.05402994,0.79491526,0.09967917,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_143,0.04973364,0.8072256,0.09300508,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_091,0.052553177,0.8105243,0.09123397,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_037,-0.048429966,0.8195538,0.08642254,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_129,-0.042552948,0.82069653,0.085817404,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_008,0.04173374,0.8248854,0.08360637,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_167,-0.035861492,0.83250415,0.07961359,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_077,0.039275646,0.8353008,0.078157105,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_139,0.044434547,0.84756374,0.07182763,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_029,-0.03522539,0.8476506,0.07178313,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_011,-0.039150238,0.8481659,0.07151918,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_064,-0.037925243,0.84878373,0.071202956,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_061,0.037917137,0.8488613,0.07116328,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_156,0.03568697,0.8572031,0.06691626,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_173,0.033846855,0.86038107,0.06530915,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_103,0.030439854,0.86132526,0.064832814,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_163,0.029510498,0.864745,0.06311193,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,PTEN,0.036292076,0.8653517,0.06280736,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_110,-0.03292942,0.86676353,0.06209937,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_123,0.031321526,0.86735153,0.061804853,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_034,0.028346062,0.88207597,0.05449401,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_007,0.02594471,0.8829553,0.054061275,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_166,0.027443409,0.88648975,0.052326284,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,MKI67,-0.027883053,0.8888659,0.051163763,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_159,0.024115086,0.8931127,0.049093727,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_151,0.02517271,0.8937702,0.048774123,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_155,-0.023964882,0.89827085,0.046592698,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_043,-0.028830051,0.9006152,0.045460723,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_105,-0.023631096,0.9009981,0.04527612,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,VEGFA,-0.024032116,0.90206903,0.044760227,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_112,0.02285719,0.90700233,0.0423916,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_137,0.020371437,0.90840656,0.04171974,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_082,0.020729542,0.91390985,0.03909664,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_080,-0.021295547,0.9150932,0.038534682,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_032,-0.017820358,0.9168479,0.037702713,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_071,-0.019815922,0.930206,0.031420864,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,CDK4,-0.0124492645,0.93293047,0.030150725,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,ALPL,-0.015469074,0.9345027,0.02941943,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_074,0.011491299,0.93832463,0.027646884,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_081,-0.016066551,0.9389121,0.027375069,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,RUNX2,-0.016110897,0.94370997,0.025161458,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_028,0.012814045,0.95070624,0.021953654,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_079,0.012103558,0.9522897,0.021230914,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_117,-0.0046014786,0.98088646,0.0083812615,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_014,-0.0045313835,0.9835407,0.0072076577,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_065,0.0028185844,0.9876454,0.0053989603,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_162,0.0020833015,0.99105656,0.0039015587,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_157,-0.0018692017,0.99128443,0.0038017153,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_102,0.0019683838,0.99225813,0.0033753335,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_169,-0.00081825256,0.9963062,0.0016071753,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_140,-0.00036287308,0.99842685,0.0006837463,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_178,0.00011396408,0.99948883,0.00022205482,Not Significant
Liposarcoma vs Rhabdomyosarcoma,MDM2,3.3412395,1.4151714e-27,26.849192,Higher in Liposarcoma
Liposarcoma vs Rhabdomyosarcoma,CDK4,3.0403337,2.2030616e-26,25.656973,Higher in Liposarcoma
Liposarcoma vs Rhabdomyosarcoma,PAX7,-2.96902,2.2648958e-25,24.64495,Higher in Rhabdomyosarcoma
Liposarcoma vs Rhabdomyosarcoma,MYOD1,-2.829615,9.462829e-24,23.02398,Higher in Rhabdomyosarcoma
Liposarcoma vs Rhabdomyosarcoma,PAX3,-2.8264418,7.302596e-23,22.136522,Higher in Rhabdomyosarcoma
Liposarcoma vs Rhabdomyosarcoma,PPARG,2.9026728,2.9965913e-22,21.523373,Higher in Liposarcoma
Liposarcoma vs Rhabdomyosarcoma,FABP4,2.948689,1.080736e-21,20.96628,Higher in Liposarcoma
Liposarcoma vs Rhabdomyosarcoma,CEBPA,2.357267,4.5418165e-21,20.34277,Higher in Liposarcoma
Liposarcoma vs Rhabdomyosarcoma,HMGA2,2.501009,2.0434118e-19,18.689644,Higher in Liposarcoma
Liposarcoma vs Rhabdomyosarcoma,TNNT3,-2.1290178,4.74701e-18,17.32358,Higher in Rhabdomyosarcoma
Liposarcoma vs Rhabdomyosarcoma,MYOG,-2.9872732,2.4463021e-17,16.61149,Higher in Rhabdomyosarcoma
Liposarcoma vs Rhabdomyosarcoma,MYH3,-2.3460445,8.1017557e-17,16.091421,Higher in Rhabdomyosarcoma
Liposarcoma vs Rhabdomyosarcoma,LPL,1.9385304,2.9276823e-16,15.533476,Higher in Liposarcoma
Liposarcoma vs Rhabdomyosarcoma,MYF5,-1.9787426,7.7225407e-16,15.11224,Higher in Rhabdomyosarcoma
Liposarcoma vs Rhabdomyosarcoma,ADIPOQ,1.9449763,1.0452464e-14,13.980782,Higher in Liposarcoma
Liposarcoma vs Rhabdomyosarcoma,DES,-2.039187,8.0220054e-13,12.095717,Higher in Rhabdomyosarcoma
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_176,-0.516551,0.008755299,2.057729,Not Significant
Liposarcoma vs Rhabdomyosarcoma,TPM2,-0.49158144,0.012993719,1.8862665,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_094,0.43968916,0.017913692,1.746815,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_135,0.35420084,0.019071516,1.7196147,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_078,0.47455692,0.01965329,1.7065647,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_033,0.39574528,0.025620647,1.5914099,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_177,0.4872303,0.029189382,1.5347751,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_054,-0.38184595,0.033741973,1.4718295,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_015,0.38313723,0.03825772,1.4172809,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_075,0.39523077,0.039042767,1.4084594,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_013,0.3729496,0.05762271,1.2394063,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_111,0.34712553,0.060082674,1.2212508,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_132,0.36183167,0.07065889,1.1508331,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_167,-0.3065343,0.073197894,1.1355014,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_128,-0.30991364,0.09816017,1.0080647,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_142,0.3133235,0.106156714,0.97405255,Not Significant
Liposarcoma vs Rhabdomyosarcoma,MMP13,-0.26517534,0.12251121,0.91182417,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_163,0.25567865,0.1272486,0.895347,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_164,-0.30282688,0.12889682,0.8897578,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_151,0.2998209,0.12994586,0.88623756,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_018,0.27728844,0.13420306,0.87223756,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_031,0.30273628,0.13692702,0.86351085,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_093,-0.28708982,0.14095613,0.850916,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_058,0.27492952,0.14184512,0.8481856,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_026,-0.30408525,0.1436705,0.8426324,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_166,-0.2601471,0.1541829,0.8119638,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_019,0.23710918,0.1542644,0.81173426,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_129,-0.243155,0.16891734,0.77232575,Not Significant
Liposarcoma vs Rhabdomyosarcoma,PTEN,0.32456398,0.17320967,0.7614279,Not Significant
Liposarcoma vs Rhabdomyosarcoma,MYLK,0.2216487,0.18239315,0.7389915,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_016,-0.22515202,0.1985667,0.7020936,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_062,0.24314833,0.20196371,0.69472665,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_178,0.20404482,0.2067062,0.6846465,Not Significant
Liposarcoma vs Rhabdomyosarcoma,IBSP,-0.25330448,0.21114065,0.67542815,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_153,0.22831583,0.21783042,0.66188145,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_002,0.2283926,0.2194197,0.65872437,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_152,-0.24300909,0.2196308,0.6583068,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_025,-0.24169779,0.2438114,0.612946,Not Significant
Liposarcoma vs Rhabdomyosarcoma,BCL2,-0.26423883,0.24859647,0.60450506,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_105,0.21581554,0.25460154,0.594139,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_053,-0.2302041,0.25698784,0.5900874,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_144,-0.21481085,0.27318814,0.5635382,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_148,-0.20355225,0.283163,0.5479635,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_020,-0.20499659,0.28605253,0.5435542,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_126,-0.20534182,0.2880115,0.54059017,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_180,-0.21318531,0.28895035,0.53917676,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_095,0.2138381,0.2910943,0.5359663,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_092,-0.20696259,0.292253,0.534241,Not Significant
Liposarcoma vs Rhabdomyosarcoma,VEGFA,-0.20240116,0.29629037,0.52828246,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_003,0.20999908,0.30281073,0.51882875,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_143,0.17892838,0.31442192,0.5024872,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_158,-0.19484997,0.3166352,0.49944082,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_079,-0.21059799,0.32293034,0.49089116,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_156,-0.2100997,0.32742167,0.4848926,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_027,0.21267843,0.32831696,0.4837067,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_110,-0.18975163,0.33017135,0.48126063,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_108,0.17848396,0.3394992,0.46916124,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_035,-0.17640352,0.34065476,0.46768555,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_088,-0.2020545,0.34880012,0.4574234,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_138,0.17851353,0.36050788,0.44308525,Not Significant
Liposarcoma vs Rhabdomyosarcoma,MYH11,0.16807175,0.36109844,0.4423744,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_029,0.17130566,0.37396565,0.42716828,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_074,-0.15755081,0.3817322,0.4182412,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_034,-0.17845058,0.3910809,0.4077334,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_086,0.13066149,0.39544725,0.40291142,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_175,-0.1565218,0.40192974,0.39584988,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_010,0.18191671,0.41045165,0.386738,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_087,0.1621356,0.41460755,0.38236278,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_133,-0.13507748,0.41700697,0.37985668,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_109,0.16920948,0.43421018,0.3623,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_139,0.15467978,0.4442325,0.3523897,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_170,0.12643957,0.4515943,0.34525156,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_141,0.14337587,0.45646748,0.34059015,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_008,0.15786266,0.4581439,0.3389981,Not Significant
Liposarcoma vs Rhabdomyosarcoma,ACTA2,0.1394124,0.46253973,0.33485097,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_021,-0.13206148,0.47133803,0.32666752,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_125,-0.13350534,0.47258258,0.3255223,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_059,0.1240654,0.47588596,0.3224971,Not Significant
Liposarcoma vs Rhabdomyosarcoma,BGLAP,-0.13816833,0.4767036,0.32175156,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_084,0.14630985,0.47720775,0.32129252,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_036,-0.111263275,0.4778712,0.32068914,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_159,0.1220274,0.48089546,0.31794932,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_012,-0.14305878,0.48559433,0.3137264,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_051,-0.1253686,0.49058098,0.3092893,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_085,0.14232206,0.49302712,0.3071292,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_122,-0.13819551,0.5027746,0.29862666,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_117,0.13282728,0.50433034,0.29728493,Not Significant
Liposarcoma vs Rhabdomyosarcoma,CDKN2A,0.13112879,0.51025903,0.2922093,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_072,0.11261225,0.5230748,0.2814362,Not Significant
Liposarcoma vs Rhabdomyosarcoma,ALPL,0.11641884,0.5306198,0.27521658,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_174,-0.12007189,0.53184634,0.27421382,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_067,-0.11727142,0.53410137,0.2723763,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_024,0.109137535,0.535621,0.27114242,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_011,-0.12396288,0.538377,0.2689135,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_038,-0.1152935,0.53919697,0.26825258,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_005,0.11133289,0.5396479,0.26788953,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_091,-0.11030245,0.55094045,0.25889534,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_060,0.11914921,0.5591506,0.25247124,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_040,-0.1241951,0.55986714,0.25191504,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_030,-0.110174656,0.56203496,0.25023666,Not Significant
Liposarcoma vs Rhabdomyosarcoma,CCND1,0.092029095,0.5652259,0.24777795,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_147,0.0944438,0.5727083,0.24206653,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_046,-0.12704659,0.57596874,0.23960109,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_124,-0.118932724,0.5768619,0.23892814,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_169,-0.10252333,0.57804734,0.2380366,Not Significant
Liposarcoma vs Rhabdomyosarcoma,MMP9,0.094656944,0.5781219,0.23798059,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_044,-0.11789894,0.5964953,0.22439298,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_168,0.11014891,0.5981465,0.22319245,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_146,-0.097519875,0.6010559,0.22108512,Not Significant
Liposarcoma vs Rhabdomyosarcoma,RUNX2,0.091649055,0.60606563,0.21748035,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_118,0.09605503,0.61336285,0.21228254,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_076,-0.09632921,0.61599314,0.21042413,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_112,-0.10334778,0.61652607,0.21004856,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_162,-0.10062885,0.6353305,0.1970003,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_014,0.08766699,0.64352053,0.1914376,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_179,-0.081451416,0.65023446,0.18693003,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_017,-0.07927036,0.65207666,0.18570134,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_043,0.094658375,0.66163117,0.17938404,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_081,0.08972502,0.6653608,0.1769428,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_101,-0.08620167,0.6659843,0.17653602,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_022,-0.07873249,0.6670412,0.17584737,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_136,0.07767677,0.67260784,0.17223808,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_113,0.0865016,0.6727762,0.17212938,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_097,0.08928537,0.6731664,0.17187758,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_172,0.079255104,0.67378384,0.17147942,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_064,-0.08087301,0.6779005,0.16883405,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_007,-0.08000612,0.6783401,0.16855253,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_039,-0.07775545,0.6882327,0.16226467,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_096,0.075881004,0.68902,0.16176818,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_083,-0.07257223,0.69180524,0.16001615,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_107,0.06651926,0.6929466,0.15930024,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_048,0.0767889,0.6953568,0.15779231,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_149,-0.07671499,0.70159525,0.15391336,Not Significant
Liposarcoma vs Rhabdomyosarcoma,SARC_GENE_028,0.08016777,0.7026129,0.1532839,Not Significant
